satisfied,comments_es
Neutro,Me gusto la app aunque hay algunas cosas en las que tienen que mejorar.
Neutro,La app es buena aunque hay cosas que mejorar.
Neutro,El banco es bueno aunque esperaba mas de sus servicios.
Neutro,"Me gustó, aunque esperaba mas opciones."
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Neutro,Me gusto aunque no era lo que esperaba.
Neutro,Me parecio ok aunque podrian mejorar mas.
Neutro,Me gusto el banco aunque hay cosas que pueden mejorar.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,La aplicación es rapida y cumple con lo que promete.
Positivo,La app es rapida
Positivo,La app es rapida y cumple con lo que promete.
Positivo,Los servicios son buenos y cumplen con lo que prometen.
Positivo,El servicio es bueno y cumple con lo que promete.
Positivo,Se cumple con lo que prometieron.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,La aplicación es rapida y cumple con lo que promete.
Positivo,La app es rapida
Positivo,La app es rapida y cumple con lo que promete.
Positivo,Los servicios son buenos y cumplen con lo que prometen.
Positivo,El servicio es bueno y cumple con lo que promete.
Positivo,Se cumple con lo que prometieron.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,La aplicación es rapida y cumple con lo que promete.
Positivo,La app es rapida
Positivo,La app es rapida y cumple con lo que promete.
Positivo,Los servicios son buenos y cumplen con lo que prometen.
Positivo,El servicio es bueno y cumple con lo que promete.
Positivo,Se cumple con lo que prometieron.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,La aplicación es rapida y cumple con lo que promete.
Positivo,La app es rapida
Positivo,La app es rapida y cumple con lo que promete.
Positivo,Los servicios son buenos y cumplen con lo que prometen.
Positivo,El servicio es bueno y cumple con lo que promete.
Positivo,Se cumple con lo que prometieron.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,Responden rapido y cumplen lo que prometen.
Positivo,La respuesta es rapida y cumple con lo que promete.
Positivo,La app es rapida y cumple.
Positivo,La aplicación es rapida y cumple con lo que promete.
Positivo,La app es rapida
Positivo,La app es rapida y cumple con lo que promete.
Positivo,Los servicios son buenos y cumplen con lo que prometen.
Positivo,El servicio es bueno y cumple con lo que promete.
Positivo,Se cumple con lo que prometieron.
Positivo,Responden rapido y cumplen lo que prometen.
Negativo,No hay un buen servicio.
Negativo,El banco no da un buen servicio.
Negativo,No es un buen servicio.
Negativo,La aplicación no da un buen servicio.
Negativo,La app no da un buen servicio.
Negativo,La aplicación no tiene un buen servicio.
Negativo,La app no tiene un buen servicio.
Negativo,No hay un buen servicio al cliente.
Negativo,No tienen un buen servicio.
Negativo,No dan un buen servicio.
Negativo,No ofrecen un buen servicio.
Negativo,No dan buen servicio.
Negativo,La aplicación no ofrece un buen servicio.
Negativo,No hay buena rapidez.
Negativo,No tiene buena rapidez.
Negativo,La app no tiene una buena rapidez.
Negativo,La aplicación no tiene buena rapidez.
Negativo,No hay un buen servicio.
Negativo,El banco no da un buen servicio.
Negativo,No es un buen servicio.
Negativo,La aplicación no da un buen servicio.
Negativo,La app no da un buen servicio.
Negativo,La aplicación no tiene un buen servicio.
Negativo,La app no tiene un buen servicio.
Negativo,No hay un buen servicio al cliente.
Negativo,No tienen un buen servicio.
Negativo,No dan un buen servicio.
Negativo,No ofrecen un buen servicio.
Negativo,No dan buen servicio.
Negativo,La aplicación no ofrece un buen servicio.
Negativo,No hay buena rapidez.
Negativo,No tiene buena rapidez.
Negativo,La app no tiene una buena rapidez.
Negativo,La aplicación no tiene buena rapidez.
Negativo,No hay un buen servicio.
Negativo,El banco no da un buen servicio.
Negativo,No es un buen servicio.
Negativo,La aplicación no da un buen servicio.
Negativo,La app no da un buen servicio.
Negativo,La aplicación no tiene un buen servicio.
Negativo,La app no tiene un buen servicio.
Negativo,No hay un buen servicio al cliente.
Negativo,No tienen un buen servicio.
Negativo,No dan un buen servicio.
Negativo,No ofrecen un buen servicio.
Negativo,No dan buen servicio.
Negativo,La aplicación no ofrece un buen servicio.
Negativo,No hay buena rapidez.
Negativo,No tiene buena rapidez.
Negativo,La app no tiene una buena rapidez.
Negativo,La aplicación no tiene buena rapidez.
Negativo,No hay un buen servicio.
Negativo,El banco no da un buen servicio.
Negativo,No es un buen servicio.
Negativo,La aplicación no da un buen servicio.
Negativo,La app no da un buen servicio.
Negativo,La aplicación no tiene un buen servicio.
Negativo,La app no tiene un buen servicio.
Negativo,No hay un buen servicio al cliente.
Negativo,No tienen un buen servicio.
Negativo,No dan un buen servicio.
Negativo,No ofrecen un buen servicio.
Negativo,No dan buen servicio.
Negativo,La aplicación no ofrece un buen servicio.
Negativo,No hay buena rapidez.
Negativo,No tiene buena rapidez.
Neutro,"El servicio fue bueno, aunque la espera fue un poco larga."
Neutro,"La rapidez fue buena, aunque el servicio al cliente dejo que desear."
Neutro,"El servicio bueno, aunque la espera larga."
Neutro,"El servicio ok, aunque la espera fue larga."
Neutro,"Los servicio del banco son buenos, aunque la rapidez es mala."
Neutro,Aunque la app es lenta su servicio es bueno.
Neutro,"El servicio fue bueno, aunque la espera fue un poco larga."
Neutro,"La rapidez fue buena, aunque el servicio al cliente dejo que desear."
Neutro,"El servicio bueno, aunque la espera larga."
Neutro,"El servicio ok, aunque la espera fue larga."
Neutro,"Los servicio del banco son buenos, aunque la rapidez es mala."
Neutro,Aunque la app es lenta su servicio es bueno.
Neutro,"El servicio fue bueno, aunque la espera fue un poco larga."
Neutro,"La rapidez fue buena, aunque el servicio al cliente dejo que desear."
Neutro,"El servicio bueno, aunque la espera larga."
Neutro,"El servicio ok, aunque la espera fue larga."
Neutro,"Los servicio del banco son buenos, aunque la rapidez es mala."
Neutro,Aunque la app es lenta su servicio es bueno.
Neutro,"El servicio fue bueno, aunque la espera fue un poco larga."
Neutro,"La rapidez fue buena, aunque el servicio al cliente dejo que desear."
Neutro,"El servicio bueno, aunque la espera larga."
Neutro,"El servicio ok, aunque la espera fue larga."
Neutro,"Los servicio del banco son buenos, aunque la rapidez es mala."
Neutro,Aunque la app es lenta su servicio es bueno.
Neutro,"El servicio fue bueno, aunque la espera fue un poco larga."
Neutro,"La rapidez fue buena, aunque el servicio al cliente dejo que desear."
Positivo,¡Súper recomendado! Calidad top y precios justos.
Positivo,Super recomendado.
Positivo,Calidad top.
Positivo,Precios justos.
Positivo,Super recomendado el servicio.
Positivo,Super recomendado el banco.
Positivo,Super recomendada la aplicación.
Positivo,Super recomendada la app.
Positivo,La calidad del banco es de lo mejor.
Positivo,La calidad del banco es top.
Positivo,La calidad de la aplicación es top.
Positivo,La calidad de la app es top.
Positivo,La calidad de sus servicios son top.
Positivo,Los precios de sus servicios son justos.
Positivo,Los precios de la app son justos.
Positivo,Los precios de la aplicación son justos.
Positivo,¡Súper recomendado! Calidad top y precios justos.
Positivo,Super recomendado.
Positivo,Calidad top.
Positivo,Precios justos.
Positivo,Super recomendado el servicio.
Positivo,Super recomendado el banco.
Positivo,Super recomendada la aplicación.
Positivo,Super recomendada la app.
Positivo,La calidad del banco es de lo mejor.
Positivo,La calidad del banco es top.
Positivo,La calidad de la aplicación es top.
Positivo,La calidad de la app es top.
Positivo,La calidad de sus servicios son top.
Positivo,Los precios de sus servicios son justos.
Positivo,Los precios de la app son justos.
Positivo,Los precios de la aplicación son justos.
Positivo,¡Súper recomendado! Calidad top y precios justos.
Positivo,Super recomendado.
Positivo,Calidad top.
Positivo,Precios justos.
Positivo,Super recomendado el servicio.
Positivo,Super recomendado el banco.
Positivo,Super recomendada la aplicación.
Positivo,Super recomendada la app.
Positivo,La calidad del banco es de lo mejor.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Negativo,Me cobraron de mas.
Negativo,Tuve que reclamar.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Negativo,Me cobraron de mas.
Negativo,Tuve que reclamar.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Negativo,Me cobraron de mas.
Negativo,Tuve que reclamar.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Negativo,Me cobraron de mas.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Negativo,Me cobraron de mas.
Negativo,Tuve que reclamar.
Negativo,Me cobraron de más y tuve que reclamar. Al final lo corrigieron.
Negativo,Me cobraron de mas y tuve que reclamar.
Positivo,"Me sorprendió la calidad, definitivamente repetiré."
Positivo,"Me sorprendió la calidad , es muy buena."
Positivo,Definitivamente lo repetiré.
Positivo,Definitivamente volvería a escoger sus servicios.
Positivo,"Me sorprendió la rapidez, definitivamente lo repetiré."
Positivo,"Me sorprendio la app, definitivamente la volvería a usar."
Positivo,"Me sorprendio la aplicación, definitivamente la volvería a usar."
Positivo,"Me sorprendieron sus servicios, definitivamente los volvería a usar."
Positivo,"Me sorprendió la calidad, definitivamente repetiré."
Positivo,"Me sorprendió la calidad , es muy buena."
Positivo,Definitivamente lo repetiré.
Positivo,Definitivamente volvería a escoger sus servicios.
Positivo,"Me sorprendió la rapidez, definitivamente lo repetiré."
Positivo,"Me sorprendio la app, definitivamente la volvería a usar."
Positivo,"Me sorprendio la aplicación, definitivamente la volvería a usar."
Positivo,"Me sorprendieron sus servicios, definitivamente los volvería a usar."
Positivo,"Me sorprendió la calidad, definitivamente repetiré."
Positivo,"Me sorprendió la calidad , es muy buena."
Positivo,Definitivamente lo repetiré.
Positivo,Definitivamente volvería a escoger sus servicios.
Positivo,"Me sorprendió la rapidez, definitivamente lo repetiré."
Positivo,"Me sorprendio la app, definitivamente la volvería a usar."
Positivo,"Me sorprendio la aplicación, definitivamente la volvería a usar."
Positivo,"Me sorprendieron sus servicios, definitivamente los volvería a usar."
Positivo,"Me sorprendió la calidad, definitivamente repetiré."
Positivo,"Me sorprendió la calidad , es muy buena."
Positivo,Definitivamente lo repetiré.
Positivo,Definitivamente volvería a escoger sus servicios.
Positivo,"Me sorprendió la rapidez, definitivamente lo repetiré."
Positivo,"Me sorprendio la app, definitivamente la volvería a usar."
Positivo,"Me sorprendio la aplicación, definitivamente la volvería a usar."
Negativo,"Tuve que esperar 40 minutos, deberían organizar mejor la fila."
Negativo,"Tuve que esperar mucho, deberían organizar mejor la fila."
Negativo,"Tuve que esperar media hora, deberían organizarse mejor."
Negativo,Tuve que esperar demasiado.
Negativo,Deberían organizar mejor sus servicios.
Negativo,Deberían organizar mejor sus filas.
Negativo,Deberían tener mas organización.
Negativo,"La espera fue demasiada, deberían tener una mejor organización."
Negativo,"Tuve que esperar 40 minutos, deberían organizar mejor la fila."
Negativo,"Tuve que esperar mucho, deberían organizar mejor la fila."
Negativo,"Tuve que esperar media hora, deberían organizarse mejor."
Negativo,Tuve que esperar demasiado.
Negativo,Deberían organizar mejor sus servicios.
Negativo,Deberían organizar mejor sus filas.
Negativo,Deberían tener mas organización.
Negativo,"La espera fue demasiada, deberían tener una mejor organización."
Negativo,"Tuve que esperar 40 minutos, deberían organizar mejor la fila."
Negativo,"Tuve que esperar mucho, deberían organizar mejor la fila."
Negativo,"Tuve que esperar media hora, deberían organizarse mejor."
Negativo,Tuve que esperar demasiado.
Negativo,Deberían organizar mejor sus servicios.
Negativo,"Tuve que esperar 40 minutos, deberían organizar mejor la fila."
Negativo,"Tuve que esperar mucho, deberían organizar mejor la fila."
Negativo,"Tuve que esperar media hora, deberían organizarse mejor."
Negativo,Tuve que esperar demasiado.
Negativo,Deberían organizar mejor sus servicios.
Negativo,Deberían organizar mejor sus filas.
Negativo,Deberían tener mas organización.
Negativo,"La espera fue demasiada, deberían tener una mejor organización."
Negativo,"Tuve que esperar 40 minutos, deberían organizar mejor la fila."
Negativo,"Tuve que esperar mucho, deberían organizar mejor la fila."
Negativo,"Tuve que esperar media hora, deberían organizarse mejor."
Negativo,Se equivocaron en mi nombre en la factura.
Negativo,Se equivocaron con mi nombre.
Negativo,Pusieron mal mi nombre.
Negativo,Pusieron mal mis datos.
Negativo,Escribieron mal mis datos.
Negativo,Capturaron mal mis datos.
Negativo,Pusieron mal los datos de mi factura.
Negativo,Mis datos personales están incorrectos.
Negativo,Mis datos personales los escribieron mal.
Negativo,Mis datos personales los capturaron mal.
Negativo,Mis datos personales fueron capturados incorrectamente.
Negativo,Mis datos personales fueron capturados erróneamente.
Negativo,Se equivocaron en mi nombre en la app.
Negativo,Se equivocaron en mi nombre en la aplicación.
Negativo,Se equivocaron al momento de anotar mi nombre.
Negativo,Se equivocaron.
Negativo,Se equivocaron en mi nombre en la factura.
Negativo,Se equivocaron con mi nombre.
Negativo,Pusieron mal mi nombre.
Negativo,Pusieron mal mis datos.
Negativo,Escribieron mal mis datos.
Negativo,Capturaron mal mis datos.
Negativo,Pusieron mal los datos de mi factura.
Negativo,Mis datos personales están incorrectos.
Negativo,Mis datos personales los escribieron mal.
Negativo,Mis datos personales los capturaron mal.
Negativo,Mis datos personales fueron capturados incorrectamente.
Negativo,Mis datos personales fueron capturados erróneamente.
Negativo,Se equivocaron en mi nombre en la app.
Negativo,Se equivocaron en mi nombre en la aplicación.
Negativo,Se equivocaron al momento de anotar mi nombre.
Negativo,Se equivocaron.
Negativo,Se equivocaron en mi nombre en la factura.
Negativo,Se equivocaron con mi nombre.
Negativo,Pusieron mal mi nombre.
Negativo,Pusieron mal mis datos.
Positivo,Me dieron una solución alternativa y funcionó perfecto.
Positivo,Me dieron una solución alternativa.
Positivo,Me dieron una solución.
Positivo,Funciono perfecto.
Positivo,La solución que me dieron funciono muy bien.
Positivo,La solución propuesta funciono de maravilla.
Positivo,La solución fue perfecta.
Positivo,Me dieron una solución y si sirvió.
Positivo,La solución que me dieron si sirvió.
Positivo,La solución fue optima.
Positivo,Me dieron una solución alternativa y funcionó perfecto.
Positivo,Me dieron una solución alternativa.
Positivo,Me dieron una solución.
Positivo,Funciono perfecto.
Positivo,La solución que me dieron funciono muy bien.
Positivo,La solución propuesta funciono de maravilla.
Positivo,La solución fue perfecta.
Positivo,Me dieron una solución y si sirvió.
Positivo,La solución que me dieron si sirvió.
Positivo,La solución fue optima.
Positivo,Me dieron una solución alternativa y funcionó perfecto.
Positivo,Me dieron una solución alternativa.
Positivo,Me dieron una solución.
Positivo,Funciono perfecto.
Positivo,La solución que me dieron funciono muy bien.
Positivo,La solución propuesta funciono de maravilla.
Positivo,La solución fue perfecta.
Positivo,Me dieron una solución y si sirvió.
Positivo,La solución que me dieron si sirvió.
Positivo,La solución fue optima.
Positivo,Me dieron una solución alternativa y funcionó perfecto.
Positivo,Me dieron una solución alternativa.
Positivo,El servicio estaba buenísimo.
Positivo,La rapidez es buenísima.
Positivo,El servicio es buenísimo.
Positivo,El servicio fue buenísimo.
Positivo,La aplicación es buenísima.
Positivo,La app es buenísima.
Positivo,Sus servicios son buenísimos.
Positivo,La calidad es buenísima.
Positivo,La rapidez de sus servicios es buenísima.
Positivo,El servicio al cliente es buenísimo.
Positivo,El servicio estaba buenísimo.
Positivo,La rapidez es buenísima.
Positivo,El servicio es buenísimo.
Positivo,El servicio fue buenísimo.
Positivo,La aplicación es buenísima.
Positivo,La app es buenísima.
Positivo,Sus servicios son buenísimos.
Positivo,La calidad es buenísima.
Positivo,La rapidez de sus servicios es buenísima.
Positivo,El servicio al cliente es buenísimo.
Positivo,El servicio estaba buenísimo.
Positivo,La rapidez es buenísima.
Positivo,El servicio es buenísimo.
Positivo,El servicio fue buenísimo.
Positivo,La aplicación es buenísima.
Positivo,La app es buenísima.
Positivo,Me hicieron sentir bienvenido desde que entré.
Positivo,Me hicieron sentir bien desde que entre.
Positivo,Su personal me hizo sentir bien desde que entre.
Positivo,El servicio al cliente me hizo sentir bien desde que entre.
Positivo,Su gente me hizo sentir bien en todo momento.
Positivo,El servicio me hizo sentir bien en todo momento.
Positivo,El banco me hizo sentir bienvenido.
Positivo,Sus productos me hicieron sentir bien.
Positivo,Me hicieron sentir bienvenido desde que entré.
Positivo,Me hicieron sentir bien desde que entre.
Positivo,Su personal me hizo sentir bien desde que entre.
Positivo,El servicio al cliente me hizo sentir bien desde que entre.
Positivo,Su gente me hizo sentir bien en todo momento.
Positivo,El servicio me hizo sentir bien en todo momento.
Positivo,El banco me hizo sentir bienvenido.
Positivo,Sus productos me hicieron sentir bien.
Positivo,Me hicieron sentir bienvenido desde que entré.
Positivo,Me hicieron sentir bien desde que entre.
Positivo,Su personal me hizo sentir bien desde que entre.
Positivo,El servicio al cliente me hizo sentir bien desde que entre.
Positivo,Su gente me hizo sentir bien en todo momento.
Positivo,El servicio me hizo sentir bien en todo momento.
Positivo,El banco me hizo sentir bienvenido.
Positivo,Sus productos me hicieron sentir bien.
Positivo,Me hicieron sentir bienvenido desde que entré.
Positivo,Me hicieron sentir bien desde que entre.
Positivo,Su personal me hizo sentir bien desde que entre.
Positivo,El servicio al cliente me hizo sentir bien desde que entre.
Positivo,Su gente me hizo sentir bien en todo momento.
Positivo,El servicio me hizo sentir bien en todo momento.
Positivo,El banco me hizo sentir bienvenido.
Positivo,Sus productos me hicieron sentir bien.
Positivo,Me hicieron sentir bienvenido desde que entré.
Positivo,Me hicieron sentir bien desde que entre.
Positivo,Su personal me hizo sentir bien desde que entre.
Positivo,El servicio al cliente me hizo sentir bien desde que entre.
Positivo,Su gente me hizo sentir bien en todo momento.
Negativo,La atención telefónica fue cortante.
Negativo,La atención al cliente fue mala.
Negativo,La atención telefonica fue mala.
Negativo,Su servicio al cliente es cortante.
Negativo,Su servicio al cliente es malo.
Negativo,Su gente es cortante.
Negativo,Su gente es muy cortante.
Negativo,Su personal es cortante.
Negativo,Las llamadas con el personal son cortantes.
Negativo,"El personal es cortante, no explican bien."
Negativo,"El personal es cortante, explican mal."
Negativo,La atención telefónica fue cortante.
Negativo,La atención al cliente fue mala.
Negativo,La atención telefonica fue mala.
Negativo,Su servicio al cliente es cortante.
Negativo,Su servicio al cliente es malo.
Negativo,Su gente es cortante.
Negativo,Su gente es muy cortante.
Negativo,Su personal es cortante.
Negativo,Las llamadas con el personal son cortantes.
Negativo,"El personal es cortante, no explican bien."
Negativo,"El personal es cortante, explican mal."
Negativo,La atención telefónica fue cortante.
Negativo,La atención al cliente fue mala.
Negativo,La atención telefonica fue mala.
Negativo,Su servicio al cliente es cortante.
Negativo,Su servicio al cliente es malo.
Negativo,Su gente es cortante.
Negativo,Su gente es muy cortante.
Negativo,Su personal es cortante.
Positivo,Me ayudaron con la configuración y quedó listo.
Positivo,Me ayudaron con la configuración.
Positivo,Me ayudaron.
Positivo,El personal me ayudo.
Positivo,Ellos me ayudaron mucho.
Positivo,La configuración quedo lista.
Positivo,La app quedo lista al instante.
Positivo,Me ayudaron con la configuración de la app.
Positivo,Me ayudaron a corregir errores.
Positivo,Me ayudaron mucho.
Positivo,Me ayudaron y quedo listo muy rápido.
Positivo,Me ayudaron a tener todo listo.
Positivo,Quedo listo.
Positivo,La aplicación quedo lista.
Positivo,Quedo todo muy bien.
Positivo,Todo quedo bien.
Positivo,Quedó todo.
Positivo,Quedo configurado.
Positivo,Me ayudaron con la configuración y quedó listo.
Positivo,Me ayudaron con la configuración.
Positivo,Me ayudaron.
Positivo,El personal me ayudo.
Positivo,Ellos me ayudaron mucho.
Positivo,La configuración quedo lista.
Positivo,La app quedo lista al instante.
Positivo,Me ayudaron con la configuración de la app.
Positivo,Me ayudaron a corregir errores.
Positivo,Me ayudaron mucho.
Positivo,Me ayudaron y quedo listo muy rápido.
Positivo,Me ayudaron a tener todo listo.
Positivo,Quedo listo.
Positivo,La aplicación quedo lista.
Positivo,Quedo todo muy bien.
Positivo,Todo quedo bien.
Positivo,Quedó todo.
Positivo,Quedo configurado.
Positivo,Me ayudaron con la configuración y quedó listo.
Positivo,Me ayudaron con la configuración.
Positivo,Me ayudaron.
Positivo,El personal me ayudo.
Positivo,Ellos me ayudaron mucho.
Positivo,La configuración quedo lista.
Positivo,La app quedo lista al instante.
Positivo,Me ayudaron con la configuración de la app.
Positivo,Me ayudaron a corregir errores.
Positivo,Me ayudaron mucho.
Positivo,Me ayudaron y quedo listo muy rápido.
Positivo,Me ayudaron a tener todo listo.
Positivo,Quedo listo.
Negativo,"La página se cae, ojalá lo arreglen pronto."
Negativo,La pagina no funciona.
Negativo,Ojala lo arreglen pronto.
Negativo,La pagina se cae.
Negativo,"La página se cae, ojalá lo arreglen pronto."
Negativo,La pagina no funciona.
Negativo,Ojala lo arreglen pronto.
Negativo,La pagina se cae.
Negativo,"La página se cae, ojalá lo arreglen pronto."
Negativo,La pagina no funciona.
Negativo,Ojala lo arreglen pronto.
Negativo,La pagina se cae.
Negativo,"La página se cae, ojalá lo arreglen pronto."
Negativo,La pagina no funciona.
Negativo,Ojala lo arreglen pronto.
Negativo,La pagina se cae.
Negativo,"La página se cae, ojalá lo arreglen pronto."
Negativo,La pagina no funciona.
Negativo,Ojala lo arreglen pronto.
Positivo,Me dieron información clara y sin tecnicismos.
Positivo,Me dieron información clara.
Positivo,La información fue clara.
Positivo,La información es clara y sin tecnicismos.
Positivo,La informacion fue muy clara.
Positivo,Información fácil de entender.
Positivo,Información clara.
Positivo,Me dieron información clara y sin tecnicismos.
Positivo,Me dieron información clara.
Positivo,La información fue clara.
Positivo,La información es clara y sin tecnicismos.
Positivo,La informacion fue muy clara.
Positivo,Información fácil de entender.
Positivo,Información clara.
Positivo,Me dieron información clara y sin tecnicismos.
Positivo,Me dieron información clara.
Positivo,La información fue clara.
Positivo,La información es clara y sin tecnicismos.
Positivo,La informacion fue muy clara.
Positivo,Información fácil de entender.
Positivo,Información clara.
Positivo,Me dieron información clara y sin tecnicismos.
Positivo,Me dieron información clara.
Positivo,La información fue clara.
Positivo,La información es clara y sin tecnicismos.
Positivo,La informacion fue muy clara.
Positivo,Información fácil de entender.
Positivo,Información clara.
Positivo,Me dieron información clara y sin tecnicismos.
Positivo,Me dieron información clara.
Positivo,La información fue clara.
Positivo,La información es clara y sin tecnicismos.
Positivo,La informacion fue muy clara.
Positivo,Información fácil de entender.
Positivo,"Me dieron una atención súper humana, se agradece."
Positivo,Me dieron una atención super humana.
Positivo,Atención super humana.
Positivo,Su atención es muy humana.
Positivo,Se agradece su atención.
Positivo,"Me ayudaron mucho, se agradece."
Positivo,"Que buenas personas , se agradece."
Positivo,"La atención muy buena, se agradece."
Positivo,"Excelente atención, se agradece."
Positivo,"De los mejores, se agradece mucho."
Positivo,Su forma de atenderte es muy humana.
Positivo,"Me dieron una atención súper humana, se agradece."
Positivo,Me dieron una atención super humana.
Positivo,Atención super humana.
Positivo,Su atención es muy humana.
Positivo,Se agradece su atención.
Positivo,"Me ayudaron mucho, se agradece."
Positivo,"Que buenas personas , se agradece."
Positivo,"La atención muy buena, se agradece."
Positivo,"Excelente atención, se agradece."
Positivo,"De los mejores, se agradece mucho."
Positivo,Su forma de atenderte es muy humana.
Positivo,"Me dieron una atención súper humana, se agradece."
Positivo,Me dieron una atención super humana.
Positivo,Atención super humana.
Positivo,Su atención es muy humana.
Positivo,Se agradece su atención.
Positivo,"Me ayudaron mucho, se agradece."
Positivo,"Que buenas personas , se agradece."
Positivo,"La atención muy buena, se agradece."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
Positivo,Me encantaron sus servicios.
Positivo,"Me encanta lo fácil que es de usar, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
Positivo,Me encantaron sus servicios.
Positivo,"Me encanta lo fácil que es de usar, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
Positivo,Me encantaron sus servicios.
Positivo,"Me encanta lo fácil que es de usar, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
Positivo,Me encantaron sus servicios.
Positivo,"Me encanta lo fácil que es de usar, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
Positivo,Me encantaron sus servicios.
Positivo,"Me encanta lo fácil que es de usar, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,"Me encantó el servicio, volvería solo por eso"
Positivo,Me encantó el servicio.
Positivo,El servicio me encanto.
Positivo,"Me encanta el servicio, volvería solo por eso."
Positivo,"Me gusta mucho, volvería por eso."
Positivo,"Su rapidez es muy buena, volvería solo por eso."
Positivo,Me encanto la app.
